epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,6619,0.82311,1.05489,1.18491,0.71385,0.66588,0.71502,0.59503,0.71831,0.91296,1.11805,0.00253668,0.00253668,0.00253668
80,6700.31,0.83429,1.07275,1.19063,0.76479,0.65365,0.71841,0.5993,0.72261,0.89875,1.12643,0.00253074,0.00253074,0.00253074
81,6782.12,0.81451,1.03183,1.17529,0.76876,0.65157,0.71864,0.59797,0.71948,0.90973,1.11731,0.0025248,0.0025248,0.0025248
82,6864.07,0.81394,1.01761,1.17133,0.78046,0.64412,0.72071,0.59919,0.71754,0.92393,1.11255,0.00251886,0.00251886,0.00251886
83,6945.78,0.80127,1.01442,1.17035,0.74378,0.66338,0.72191,0.59625,0.72008,0.91946,1.11509,0.00251292,0.00251292,0.00251292
84,7027.03,0.81042,1.0121,1.17517,0.74406,0.67541,0.72462,0.60626,0.70557,0.90065,1.10623,0.00250698,0.00250698,0.00250698
85,7108.7,0.79664,0.99487,1.16791,0.78308,0.65017,0.72886,0.60503,0.70741,0.87422,1.10769,0.00250104,0.00250104,0.00250104
86,7190.4,0.81272,1.02326,1.17158,0.79357,0.65763,0.73432,0.60809,0.71592,0.88881,1.11665,0.0024951,0.0024951,0.0024951
87,7272.01,0.8037,1.02237,1.17675,0.79204,0.65499,0.7296,0.60578,0.69972,0.88709,1.09995,0.00248916,0.00248916,0.00248916
88,7353.76,0.80107,0.99607,1.16101,0.76747,0.64842,0.72344,0.60376,0.7048,0.88211,1.10611,0.00248322,0.00248322,0.00248322
89,7435.26,0.80662,1.00032,1.17394,0.78909,0.64988,0.72953,0.60867,0.69898,0.85189,1.10563,0.00247728,0.00247728,0.00247728
90,7517.39,0.78601,0.95515,1.1489,0.80824,0.65887,0.73935,0.6155,0.70655,0.85636,1.11286,0.00247134,0.00247134,0.00247134
91,7599.19,0.79937,0.99074,1.16885,0.79378,0.66695,0.73821,0.6141,0.69852,0.8567,1.10404,0.0024654,0.0024654,0.0024654
92,7680.84,0.78834,0.97151,1.16454,0.76992,0.66349,0.74104,0.61543,0.7071,0.84513,1.10651,0.00245946,0.00245946,0.00245946
93,7762.25,0.78656,0.96526,1.15631,0.78042,0.66921,0.74116,0.61657,0.70123,0.85362,1.10446,0.00245352,0.00245352,0.00245352
94,7843.99,0.79172,0.96577,1.16082,0.78804,0.65677,0.73608,0.61614,0.70178,0.85777,1.10755,0.00244758,0.00244758,0.00244758
95,7925.6,0.78776,0.95058,1.15435,0.79102,0.66026,0.73589,0.61705,0.70526,0.85218,1.107,0.00244164,0.00244164,0.00244164
96,8007.46,0.77093,0.93842,1.14839,0.79287,0.66172,0.74016,0.61887,0.70239,0.85817,1.1083,0.0024357,0.0024357,0.0024357
97,8089.08,0.77688,0.9487,1.15349,0.80074,0.66079,0.73951,0.61894,0.70122,0.85206,1.10574,0.00242976,0.00242976,0.00242976
98,8170.68,0.789,0.94982,1.15806,0.79386,0.66197,0.7451,0.62158,0.70277,0.83816,1.10791,0.00242382,0.00242382,0.00242382
99,8252.59,0.77987,0.95019,1.15743,0.79644,0.67937,0.74378,0.62325,0.69708,0.84583,1.10031,0.00241788,0.00241788,0.00241788
100,8334.29,0.77604,0.93464,1.15467,0.78317,0.68014,0.74175,0.6198,0.69658,0.85748,1.0974,0.00241194,0.00241194,0.00241194
101,8415.75,0.77003,0.94175,1.15107,0.82388,0.66663,0.7477,0.6266,0.68708,0.83374,1.09465,0.002406,0.002406,0.002406
102,8497.78,0.76835,0.92215,1.14152,0.80052,0.67027,0.74842,0.62771,0.68712,0.82378,1.09423,0.00240006,0.00240006,0.00240006
103,8580.11,0.77864,0.92565,1.15072,0.81588,0.66366,0.74782,0.626,0.68918,0.82427,1.09806,0.00239412,0.00239412,0.00239412
104,8662.38,0.75731,0.88237,1.136,0.81295,0.67211,0.75075,0.6307,0.68851,0.8184,1.10216,0.00238818,0.00238818,0.00238818
105,8744.73,0.76165,0.90872,1.14328,0.80361,0.66919,0.7459,0.62636,0.68548,0.82169,1.09976,0.00238224,0.00238224,0.00238224
106,8826.72,0.77171,0.92015,1.15038,0.77798,0.68451,0.74889,0.62711,0.69266,0.82781,1.09965,0.0023763,0.0023763,0.0023763
